type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.5,0.06,nan,330,411,-1,1,H(p|~p),144,0.5675507288943382,1.1940543186922363e-13,0.5087544083771827,7.488523083104701e-11
early_mid_vs_improvement,0.5,0.05000000000000002,nan,330,417,-1,0,H(~p|p),144,0.3208320941625673,8.833257702677717e-05,0.4080408035204922,3.843642842617249e-07
early_mid_vs_improvement,0.5,0.05000000000000002,nan,330,417,-1,1,H(p|~p),144,0.6188489611540269,1.3812067630239724e-16,0.5529795935050593,6.633344066240494e-13
early_mid_vs_improvement,0.5,0.04000000000000001,nan,330,424,-1,0,H(~p|p),144,0.3767146971262461,3.2587969017259883e-06,0.44942646148814985,1.59951911631558e-08
early_mid_vs_improvement,0.5,0.04000000000000001,nan,330,424,-1,1,H(p|~p),144,0.66068547738965,2.0625470775480672e-19,0.5596893305616742,3.043074441817723e-13
early_mid_vs_improvement,0.5,0.03,nan,330,432,-1,0,H(~p|p),144,0.39623344521804515,8.828382995565598e-07,0.4455961680004177,2.1860417016094214e-08
early_mid_vs_improvement,0.5,0.03,nan,330,432,-1,1,H(p|~p),144,0.6560846673718257,4.436970544720308e-19,0.5362524742300482,4.2985417448350356e-12
early_mid_vs_improvement,0.5,0.020000000000000018,nan,330,444,-1,0,H(~p|p),144,0.37137929131328223,4.5902184287829854e-06,0.3894118315208716,1.406882212320434e-06
early_mid_vs_improvement,0.5,0.020000000000000018,nan,330,444,-1,1,H(p|~p),144,0.5916829310558063,5.756407140879727e-15,0.47699619201218085,1.5017328696126744e-09
early_mid_vs_improvement,0.5,0.01,nan,330,463,-1,0,H(~p|p),144,0.36424627136696236,7.188715504788474e-06,0.27891208455526884,0.0007112400887066225
early_mid_vs_improvement,0.5,0.01,nan,330,463,-1,1,H(p|~p),144,0.477473871829993,1.438722579107878e-09,0.3799089694445585,2.6467813554172662e-06
early_mid_vs_improvement,0.475,0.2,nan,332,368,-1,0,H(~p|p),144,-0.10041082821484901,0.23112831922763816,-0.11875517490243574,0.15628890259194994
early_mid_vs_improvement,0.475,0.2,nan,332,368,-1,1,H(p|~p),144,0.13932329659148923,0.09582473957880602,0.13781385956265482,0.09951228928061608
early_mid_vs_improvement,0.475,0.19,nan,332,370,-1,0,H(~p|p),144,-0.08178036783420255,0.32983573783920284,-0.09728463155357421,0.24605089253372564
early_mid_vs_improvement,0.475,0.19,nan,332,370,-1,1,H(p|~p),144,0.1689566502063319,0.04293031577730735,0.1553367428012537,0.06301348952818253
early_mid_vs_improvement,0.475,0.18000000000000002,nan,332,372,-1,0,H(~p|p),144,-0.06479086554465449,0.4403956007861858,-0.07758655350176395,0.35532051405511533
early_mid_vs_improvement,0.475,0.18000000000000002,nan,332,372,-1,1,H(p|~p),144,0.1946812646259037,0.019375178975573334,0.17218242286881957,0.03905379160622885
early_mid_vs_improvement,0.475,0.17,nan,332,374,-1,0,H(~p|p),144,-0.04789818130284326,0.5686125131949826,-0.06379267391110637,0.44748506152051437
early_mid_vs_improvement,0.475,0.17,nan,332,374,-1,1,H(p|~p),144,0.21925772116708525,0.008281545811191348,0.18245702172191083,0.028610690441795414
early_mid_vs_improvement,0.475,0.16,nan,332,376,-1,0,H(~p|p),144,-0.03207973575439566,0.7026838702260733,-0.04575050448148461,0.5860929912082421
early_mid_vs_improvement,0.475,0.16,nan,332,376,-1,1,H(p|~p),144,0.24133922208853037,0.0035679413542361333,0.1965315944516295,0.018230753405954873
early_mid_vs_improvement,0.475,0.15000000000000002,nan,332,379,-1,0,H(~p|p),144,-0.005624558367284954,0.9466557546766399,-0.025123992226457028,0.7650106215811504
early_mid_vs_improvement,0.475,0.15000000000000002,nan,332,379,-1,1,H(p|~p),144,0.2764017371277195,0.0007979920880480583,0.2129653260026916,0.010383771326573627
early_mid_vs_improvement,0.475,0.14,nan,332,381,-1,0,H(~p|p),144,0.010996767725158715,0.8959216042545799,-0.009710376774775266,0.9080395630037922
early_mid_vs_improvement,0.475,0.14,nan,332,381,-1,1,H(p|~p),144,0.29768361322525966,0.0002905600292380204,0.22328011495495398,0.007143959935476209
early_mid_vs_improvement,0.475,0.13,nan,332,384,-1,0,H(~p|p),144,0.03476617192732671,0.6791061742181503,0.019625732529481632,0.8153896927339016
early_mid_vs_improvement,0.475,0.13,nan,332,384,-1,1,H(p|~p),144,0.3284175946656657,5.851695814433907e-05,0.2491565103062657,0.0025999416453133706
early_mid_vs_improvement,0.475,0.12000000000000001,nan,332,387,-1,0,H(~p|p),144,0.05897057061191825,0.4826225774173311,0.04955266359942228,0.5553166924698811
early_mid_vs_improvement,0.475,0.12000000000000001,nan,332,387,-1,1,H(p|~p),144,0.3599652362941021,9.361881804443137e-06,0.27194429653627844,0.0009763395546780846
early_mid_vs_improvement,0.475,0.11000000000000001,nan,332,390,-1,0,H(~p|p),144,0.08346610593450157,0.3199304991128802,0.08524312128154328,0.30969955426370677
early_mid_vs_improvement,0.475,0.11000000000000001,nan,332,390,-1,1,H(p|~p),144,0.3917119356287216,1.2037216339079139e-06,0.30276005507571807,0.00022566124233321862
early_mid_vs_improvement,0.475,0.1,nan,332,394,-1,0,H(~p|p),144,0.11557872320777415,0.167745406956265,0.13131918061350673,0.11667165815318577
early_mid_vs_improvement,0.475,0.1,nan,332,394,-1,1,H(p|~p),144,0.430607276563314,7.157641059664871e-08,0.34341836890215977,2.508967815841115e-05
early_mid_vs_improvement,0.475,0.09000000000000001,nan,332,397,-1,0,H(~p|p),144,0.14080145231127547,0.09231932596894567,0.1636938018555658,0.04994316743050229
early_mid_vs_improvement,0.475,0.09000000000000001,nan,332,397,-1,1,H(p|~p),144,0.4585239345893015,7.498598672573888e-09,0.37407336704491506,3.864020563431743e-06
early_mid_vs_improvement,0.475,0.08000000000000002,nan,332,401,-1,0,H(~p|p),144,0.17669915456035518,0.034123459291770825,0.21323038867224836,0.01028653496780012
early_mid_vs_improvement,0.475,0.08000000000000002,nan,332,401,-1,1,H(p|~p),144,0.49552202127798317,2.711633737396119e-10,0.41238658858472305,2.8072895616395813e-07
early_mid_vs_improvement,0.475,0.07,nan,332,406,-1,0,H(~p|p),144,0.22490181797778536,0.006726081261621837,0.2851860490194345,0.0005309369732973215
early_mid_vs_improvement,0.475,0.07,nan,332,406,-1,1,H(p|~p),144,0.5400248927141337,2.8456434013646185e-12,0.46646236701943594,3.801210782534392e-09
early_mid_vs_improvement,0.475,0.06,nan,332,411,-1,0,H(~p|p),144,0.2748898567576332,0.0008548221320705075,0.35432827238717407,1.3179899536223792e-05
early_mid_vs_improvement,0.475,0.06,nan,332,411,-1,1,H(p|~p),144,0.5820738492600406,1.98389771149112e-14,0.5158720749403842,3.662207294062031e-11
early_mid_vs_improvement,0.475,0.05000000000000002,nan,332,417,-1,0,H(~p|p),144,0.33773737654041003,3.475494483930711e-05,0.4239487800414196,1.1905012292897505e-07
early_mid_vs_improvement,0.475,0.05000000000000002,nan,332,417,-1,1,H(p|~p),144,0.6325988090300065,1.81516138110999e-17,0.5557868719321606,4.798017000513202e-13
early_mid_vs_improvement,0.475,0.04000000000000001,nan,332,424,-1,0,H(~p|p),144,0.39195533913445213,1.183936845529878e-06,0.4616568739573722,5.746882559768832e-09
early_mid_vs_improvement,0.475,0.04000000000000001,nan,332,424,-1,1,H(p|~p),144,0.6718018044681282,3.0618664089240694e-20,0.5611884212607562,2.5507105437927687e-13
early_mid_vs_improvement,0.475,0.03,nan,332,432,-1,0,H(~p|p),144,0.40889235754081643,3.615399122839377e-07,0.45590138573656164,9.350037870996917e-09
early_mid_vs_improvement,0.475,0.03,nan,332,432,-1,1,H(p|~p),144,0.6646599088982422,1.0526420079305273e-19,0.5379625629497784,3.5677116177620566e-12
early_mid_vs_improvement,0.475,0.020000000000000018,nan,332,444,-1,0,H(~p|p),144,0.3819007770989564,2.322209460895935e-06,0.39635700166441945,8.753338872463189e-07
early_mid_vs_improvement,0.475,0.020000000000000018,nan,332,444,-1,1,H(p|~p),144,0.5991217679600669,2.1466433164007345e-15,0.4769982015171394,1.5014623075766307e-09
early_mid_vs_improvement,0.475,0.01,nan,332,463,-1,0,H(~p|p),144,0.376497912334678,3.3048652530592965e-06,0.2870067446647048,0.0004871265912748506
early_mid_vs_improvement,0.475,0.01,nan,332,463,-1,1,H(p|~p),144,0.48489439700662734,7.329722454691488e-10,0.380931807468463,2.4750737314515464e-06
early_mid_vs_improvement,0.45,0.2,nan,335,368,-1,0,H(~p|p),144,-0.07962381814691295,0.3427907089523976,-0.09662950265693168,0.2492609199263543
early_mid_vs_improvement,0.45,0.2,nan,335,368,-1,1,H(p|~p),144,0.16336199901459436,0.05041542490447652,0.14753383504718495,0.07762329705019039
early_mid_vs_improvement,0.45,0.19,nan,335,370,-1,0,H(~p|p),144,-0.05965951622333539,0.47751332145688197,-0.07886867692525455,0.34740208738719236
early_mid_vs_improvement,0.45,0.19,nan,335,370,-1,1,H(p|~p),144,0.1935530848932,0.020103012139259982,0.16082269133810861,0.05415357334467339
early_mid_vs_improvement,0.45,0.18000000000000002,nan,335,372,-1,0,H(~p|p),144,-0.04185559520147726,0.6184078890277267,-0.061875517569397846,0.46127968940029995
early_mid_vs_improvement,0.45,0.18000000000000002,nan,335,372,-1,1,H(p|~p),144,0.219340153221933,0.008256710850342588,0.17345644901254337,0.03760596998240376
early_mid_vs_improvement,0.45,0.17,nan,335,374,-1,0,H(~p|p),144,-0.024411666364036702,0.7714871508744816,-0.04425536368669306,0.5984060496468138
early_mid_vs_improvement,0.45,0.17,nan,335,374,-1,1,H(p|~p),144,0.24378536141374318,0.003234913849422857,0.18838104233973074,0.023749673177813877
early_mid_vs_improvement,0.45,0.16,nan,335,376,-1,0,H(~p|p),144,-0.008218202590791299,0.9221224123975847,-0.036570661537119256,0.6634398959069898
early_mid_vs_improvement,0.45,0.16,nan,335,376,-1,1,H(p|~p),144,0.2656007521492544,0.0012934862651486677,0.1949460950393297,0.01920766598023095
early_mid_vs_improvement,0.45,0.15000000000000002,nan,335,379,-1,0,H(~p|p),144,0.018805682324354936,0.8229742661923353,-0.013424113587644613,0.8731232360285694
early_mid_vs_improvement,0.45,0.15000000000000002,nan,335,379,-1,1,H(p|~p),144,0.30021912444304544,0.00025624517853624693,0.2121494669895183,0.010688160665554138
early_mid_vs_improvement,0.45,0.14,nan,335,381,-1,0,H(~p|p),144,0.03571619604847569,0.6708405979421014,0.005892140874097905,0.9441219734367172
early_mid_vs_improvement,0.45,0.14,nan,335,381,-1,1,H(p|~p),144,0.3211471896401289,8.685322072902074e-05,0.2287459684422234,0.005821137850642425
early_mid_vs_improvement,0.45,0.13,nan,335,384,-1,0,H(~p|p),144,0.05956934490814084,0.4781803669443145,0.04194432616786203,0.617663197509341
early_mid_vs_improvement,0.45,0.13,nan,335,384,-1,1,H(p|~p),144,0.35120411532769635,1.5886682471373143e-05,0.25522521528110154,0.0020197917794652523
early_mid_vs_improvement,0.45,0.12000000000000001,nan,335,387,-1,0,H(~p|p),144,0.0838222550740268,0.31786268878992907,0.0709870341871195,0.39783869669671024
early_mid_vs_improvement,0.45,0.12000000000000001,nan,335,387,-1,1,H(p|~p),144,0.38205110641666135,2.2993126326254676e-06,0.2791483718126978,0.0007035379360955629
early_mid_vs_improvement,0.45,0.11000000000000001,nan,335,390,-1,0,H(~p|p),144,0.10828848779997097,0.19637821625697857,0.10649260886773401,0.2039458880805393
early_mid_vs_improvement,0.45,0.11000000000000001,nan,335,390,-1,1,H(p|~p),144,0.41304494323662144,2.67575644696341e-07,0.3093592693596125,0.00016133547417311505
early_mid_vs_improvement,0.45,0.1,nan,335,394,-1,0,H(~p|p),144,0.14030086425076052,0.09349486570432354,0.1479506123577203,0.07677938371673478
early_mid_vs_improvement,0.45,0.1,nan,335,394,-1,1,H(p|~p),144,0.4509862098392761,1.4068976835975968e-08,0.34632009406231307,2.1190559929945758e-05
early_mid_vs_improvement,0.45,0.09000000000000001,nan,335,397,-1,0,H(~p|p),144,0.16560886480112444,0.04728862482075308,0.18489505909353746,0.02651610770881086
early_mid_vs_improvement,0.45,0.09000000000000001,nan,335,397,-1,1,H(p|~p),144,0.4783239515346257,1.3328394504697382e-09,0.3752931365547579,3.5723577863874514e-06
early_mid_vs_improvement,0.45,0.08000000000000002,nan,335,401,-1,0,H(~p|p),144,0.20180012106936102,0.015287136325351725,0.23560927024590264,0.004471853409647388
early_mid_vs_improvement,0.45,0.08000000000000002,nan,335,401,-1,1,H(p|~p),144,0.5147545786250185,4.101974489644617e-11,0.4130035066069994,2.6838583899810363e-07
early_mid_vs_improvement,0.45,0.07,nan,335,406,-1,0,H(~p|p),144,0.2507485546888243,0.0024347112930508934,0.30803919568390964,0.00017264556072892057
early_mid_vs_improvement,0.45,0.07,nan,335,406,-1,1,H(p|~p),144,0.5590809253121811,3.2682259085662263e-13,0.46788710603505135,3.3586558528215424e-09
early_mid_vs_improvement,0.45,0.06,nan,335,411,-1,0,H(~p|p),144,0.30158905654825174,0.00023930850586056148,0.3765383477420616,3.296225822400519e-06
early_mid_vs_improvement,0.45,0.06,nan,335,411,-1,1,H(p|~p),144,0.6011972998121131,1.6227314516802463e-15,0.5199493605012923,2.4128137347466718e-11
early_mid_vs_improvement,0.45,0.05000000000000002,nan,335,417,-1,0,H(~p|p),144,0.36478203317447155,6.953111202152086e-06,0.44739274847157856,1.888998718608735e-08
early_mid_vs_improvement,0.45,0.05000000000000002,nan,335,417,-1,1,H(p|~p),144,0.6507047539487963,1.0686593512994978e-18,0.5593939333327667,3.1504423865448166e-13
early_mid_vs_improvement,0.45,0.04000000000000001,nan,335,424,-1,0,H(~p|p),144,0.41696663204470863,2.0062092931393777e-07,0.4890758269199205,4.976649601187682e-10
early_mid_vs_improvement,0.45,0.04000000000000001,nan,335,424,-1,1,H(p|~p),144,0.6865605873688021,2.133421857117126e-21,0.5664111246480404,1.369578665175318e-13
early_mid_vs_improvement,0.45,0.03,nan,335,432,-1,0,H(~p|p),144,0.4304879522963315,7.223897964875163e-08,0.476174208771316,1.61643879749112e-09
early_mid_vs_improvement,0.45,0.03,nan,335,432,-1,1,H(p|~p),144,0.6762293986223076,1.3994556800655275e-20,0.5365317954192874,4.1699717452434676e-12
early_mid_vs_improvement,0.45,0.020000000000000018,nan,335,444,-1,0,H(~p|p),144,0.40034603664065704,6.63239740508207e-07,0.4129723566258934,2.6899644530188843e-07
early_mid_vs_improvement,0.45,0.020000000000000018,nan,335,444,-1,1,H(p|~p),144,0.6090671973856954,5.513269769623885e-16,0.4807901373739325,1.0664670810458894e-09
early_mid_vs_improvement,0.45,0.01,nan,335,463,-1,0,H(~p|p),144,0.39694781637724874,8.402820184995391e-07,0.3010377568007729,0.0002459953351232417
early_mid_vs_improvement,0.45,0.01,nan,335,463,-1,1,H(p|~p),144,0.4933463569863875,3.333101351222413e-10,0.38512564431696705,1.875493643735372e-06
early_mid_vs_improvement,0.425,0.2,nan,337,368,-1,0,H(~p|p),144,-0.06316229837152298,0.45199504675038,-0.08208403347319339,0.3280370682801679
early_mid_vs_improvement,0.425,0.2,nan,337,368,-1,1,H(p|~p),144,0.1813592820246526,0.029598870959019738,0.15228832377912588,0.06842825511754458
early_mid_vs_improvement,0.425,0.19,nan,337,370,-1,0,H(~p|p),144,-0.04232933468916719,0.6144364494987038,-0.06330233203754569,0.45099099321981173
early_mid_vs_improvement,0.425,0.19,nan,337,370,-1,1,H(p|~p),144,0.21173725488998343,0.010844917243328847,0.16888482523183093,0.043020166338576145
early_mid_vs_improvement,0.425,0.18000000000000002,nan,337,372,-1,0,H(~p|p),144,-0.02405796946241951,0.774708889267936,-0.05176322122613023,0.5377900664427373
early_mid_vs_improvement,0.425,0.18000000000000002,nan,337,372,-1,1,H(p|~p),144,0.23738773025774043,0.004171474916993938,0.1779034834858254,0.03290146785041527
early_mid_vs_improvement,0.425,0.17,nan,337,374,-1,0,H(~p|p),144,-0.006329799420454606,0.9399789320906062,-0.041606713730328454,0.6204987424498909
early_mid_vs_improvement,0.425,0.17,nan,337,374,-1,1,H(p|~p),144,0.26158777462967026,0.0015400508945778235,0.18623690054895264,0.025420250859931482
early_mid_vs_improvement,0.425,0.16,nan,337,376,-1,0,H(~p|p),144,0.010035724820058746,0.904972631581002,-0.02417144284913015,0.7736748668710549
early_mid_vs_improvement,0.425,0.16,nan,337,376,-1,1,H(p|~p),144,0.28309158630124304,0.0005858128948432118,0.19819144554739587,0.017254435426531243
early_mid_vs_improvement,0.425,0.15000000000000002,nan,337,379,-1,0,H(~p|p),144,0.037341292000715606,0.6567930326085131,0.010614695803883061,0.8995183893986652
early_mid_vs_improvement,0.425,0.15000000000000002,nan,337,379,-1,1,H(p|~p),144,0.31720819975196046,0.00010712728403895516,0.2242486963449775,0.006891688894202796
early_mid_vs_improvement,0.425,0.14,nan,337,381,-1,0,H(~p|p),144,0.054385683713013416,0.5173603655802261,0.03029669707295362,0.7184922808355519
early_mid_vs_improvement,0.425,0.14,nan,337,381,-1,1,H(p|~p),144,0.3377728911020773,3.468489743976618e-05,0.23872717957136563,0.003957337423345826
early_mid_vs_improvement,0.425,0.13,nan,337,384,-1,0,H(~p|p),144,0.07818418418401264,0.35161561251045703,0.05950419211529296,0.4786626504435054
early_mid_vs_improvement,0.425,0.13,nan,337,384,-1,1,H(p|~p),144,0.36718056328585247,5.985090574769852e-06,0.2595898600510828,0.0016781393256847675
early_mid_vs_improvement,0.425,0.12000000000000001,nan,337,387,-1,0,H(~p|p),144,0.10235505267706672,0.2221750727801694,0.08943514238091854,0.28642093768633786
early_mid_vs_improvement,0.425,0.12000000000000001,nan,337,387,-1,1,H(p|~p),144,0.39735476024020155,8.169210629428571e-07,0.28570136748254543,0.0005181823009066052
early_mid_vs_improvement,0.425,0.11000000000000001,nan,337,390,-1,0,H(~p|p),144,0.12668122366823342,0.13027249104053112,0.12673327833700895,0.13011336349088992
early_mid_vs_improvement,0.425,0.11000000000000001,nan,337,390,-1,1,H(p|~p),144,0.427640664240722,8.990899668687436e-08,0.31518884324438023,0.0001191581666405982
early_mid_vs_improvement,0.425,0.1,nan,337,394,-1,0,H(~p|p),144,0.15847434754715722,0.05781148352892902,0.16868162370055592,0.04327521660202837
early_mid_vs_improvement,0.425,0.1,nan,337,394,-1,1,H(p|~p),144,0.46469788606616574,4.427482456267082e-09,0.3511630010124304,1.59255732560363e-05
early_mid_vs_improvement,0.425,0.09000000000000001,nan,337,397,-1,0,H(~p|p),144,0.1837423815169481,0.027489475917693074,0.20714934560095907,0.01273086329203651
early_mid_vs_improvement,0.425,0.09000000000000001,nan,337,397,-1,1,H(p|~p),144,0.49147788944883897,3.9747683857761475e-10,0.3813538035097595,2.4073607490604623e-06
early_mid_vs_improvement,0.425,0.08000000000000002,nan,337,401,-1,0,H(~p|p),144,0.2200179518393222,0.008054992320783745,0.2520075886403907,0.002310840586942288
early_mid_vs_improvement,0.425,0.08000000000000002,nan,337,401,-1,1,H(p|~p),144,0.5273243196520772,1.1182918629236148e-11,0.410955821054232,3.1147679296867306e-07
early_mid_vs_improvement,0.425,0.07,nan,337,406,-1,0,H(~p|p),144,0.26936216531276364,0.0010956713298923926,0.32220284127758025,8.206403320619622e-05
early_mid_vs_improvement,0.425,0.07,nan,337,406,-1,1,H(p|~p),144,0.5713215864327655,7.556097089039243e-14,0.4674048248449982,3.5025947522027355e-09
early_mid_vs_improvement,0.425,0.06,nan,337,411,-1,0,H(~p|p),144,0.32070027046269134,8.895844211042317e-05,0.3937887356217534,1.0445501094684474e-06
early_mid_vs_improvement,0.425,0.06,nan,337,411,-1,1,H(p|~p),144,0.6133270115785496,3.035114572349418e-16,0.5219387704102616,1.964378317809828e-11
early_mid_vs_improvement,0.425,0.05000000000000002,nan,337,417,-1,0,H(~p|p),144,0.38405149892319534,2.0143297475558145e-06,0.4698158411977669,2.8379167181300684e-09
early_mid_vs_improvement,0.425,0.05000000000000002,nan,337,417,-1,1,H(p|~p),144,0.6620166694776335,1.648369629128466e-19,0.5651732695935706,1.58864569231006e-13
early_mid_vs_improvement,0.425,0.04000000000000001,nan,337,424,-1,0,H(~p|p),144,0.4349214454597731,5.117400025967005e-08,0.5109322130545347,6.027066609885041e-11
early_mid_vs_improvement,0.425,0.04000000000000001,nan,337,424,-1,1,H(p|~p),144,0.6957275769747786,3.7614885858723637e-22,0.569672551195775,9.236631935901451e-14
early_mid_vs_improvement,0.425,0.03,nan,337,432,-1,0,H(~p|p),144,0.44634423275253615,2.057278900401889e-08,0.49075585071621863,4.2534038301127175e-10
early_mid_vs_improvement,0.425,0.03,nan,337,432,-1,1,H(p|~p),144,0.683532395230348,3.7325011602879336e-21,0.5341987601624051,5.369275120675105e-12
