type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.25,0.11000000000000001,nan,359,390,-1,0,H(~p|p),144,0.24469368389746163,0.003118568569405313,0.41682713619007394,2.0269935800073793e-07
early_mid_vs_improvement,0.25,0.11000000000000001,nan,359,390,-1,1,H(p|~p),144,0.4066392444933994,4.2495376626946533e-07,0.39370031331668504,1.0508975905867915e-06
early_mid_vs_improvement,0.25,0.1,nan,359,394,-1,0,H(~p|p),144,0.2687635323813168,0.0011251774072903275,0.4341567448784531,5.432839437783967e-08
early_mid_vs_improvement,0.25,0.1,nan,359,394,-1,1,H(p|~p),144,0.42202417317666496,1.3763104934680045e-07,0.40576995795851045,4.5215050322271954e-07
early_mid_vs_improvement,0.25,0.09000000000000001,nan,359,397,-1,0,H(~p|p),144,0.28589189426723177,0.0005135385462513368,0.44982213227316753,1.548386218719447e-08
early_mid_vs_improvement,0.25,0.09000000000000001,nan,359,397,-1,1,H(p|~p),144,0.43353585231735636,5.702588487619175e-08,0.414728745140205,2.3656021531660406e-07
early_mid_vs_improvement,0.25,0.08000000000000002,nan,359,401,-1,0,H(~p|p),144,0.3159509807285187,0.00011447663405421794,0.4750025240207914,1.7946500029587454e-09
early_mid_vs_improvement,0.25,0.08000000000000002,nan,359,401,-1,1,H(p|~p),144,0.45243980924510335,1.2476015513026503e-08,0.4325136860459916,6.17485431632527e-08
early_mid_vs_improvement,0.25,0.07,nan,359,406,-1,0,H(~p|p),144,0.3668286890390906,6.118642750449631e-06,0.512612317314337,5.092225216127131e-11
early_mid_vs_improvement,0.25,0.07,nan,359,406,-1,1,H(p|~p),144,0.48687730803201795,6.104214980544793e-10,0.4633730705148345,4.961824086276431e-09
early_mid_vs_improvement,0.25,0.06,nan,359,411,-1,0,H(~p|p),144,0.42441323448388796,1.149399079571418e-07,0.5601270412059264,2.8904888482149474e-13
early_mid_vs_improvement,0.25,0.06,nan,359,411,-1,1,H(p|~p),144,0.5231038202276312,1.740443655121103e-11,0.5096299936526194,6.863835855046498e-11
early_mid_vs_improvement,0.25,0.05000000000000002,nan,359,417,-1,0,H(~p|p),144,0.49210229887852486,3.7480930410287866e-10,0.6065081650858889,7.857436335971073e-16
early_mid_vs_improvement,0.25,0.05000000000000002,nan,359,417,-1,1,H(p|~p),144,0.5585138734452775,3.4925918769262494e-13,0.5506941159654833,8.615695597368375e-13
early_mid_vs_improvement,0.25,0.04000000000000001,nan,359,424,-1,0,H(~p|p),144,0.5619416903419714,2.333456365298722e-13,0.6390529370508894,6.7580221364114685e-18
early_mid_vs_improvement,0.25,0.04000000000000001,nan,359,424,-1,1,H(p|~p),144,0.5977790647210719,2.5698229484137647e-15,0.5776066502717313,3.478484382434788e-14
early_mid_vs_improvement,0.25,0.03,nan,359,432,-1,0,H(~p|p),144,0.6143348586160611,2.6318958047417297e-16,0.6415492689913866,4.582590431499374e-18
early_mid_vs_improvement,0.25,0.03,nan,359,432,-1,1,H(p|~p),144,0.6256484607449124,5.127138128419616e-17,0.5753559006881741,4.6011419503616704e-14
early_mid_vs_improvement,0.25,0.020000000000000018,nan,359,444,-1,0,H(~p|p),144,0.6085931131491057,5.888707033293912e-16,0.59083473797478,6.431345109895401e-15
early_mid_vs_improvement,0.25,0.020000000000000018,nan,359,444,-1,1,H(p|~p),144,0.5845021173747111,1.456765851437634e-14,0.5141033584499395,4.381380678482618e-11
early_mid_vs_improvement,0.25,0.01,nan,359,463,-1,0,H(~p|p),144,0.4853651196303592,7.018931354289856e-10,0.4526320131530508,1.227883592105939e-08
early_mid_vs_improvement,0.25,0.01,nan,359,463,-1,1,H(p|~p),144,0.4231944294300435,1.26027174737388e-07,0.3770085936371976,3.1973139634111098e-06
early_mid_vs_improvement,0.22500000000000003,0.2,nan,363,368,-1,0,H(~p|p),144,0.1119987709108944,0.18139216686108,0.27022290773607566,0.0010544857308787288
early_mid_vs_improvement,0.22500000000000003,0.2,nan,363,368,-1,1,H(p|~p),144,0.3047700827528096,0.0002039077473810436,0.2800334401513625,0.0006753643144969243
early_mid_vs_improvement,0.22500000000000003,0.19,nan,363,370,-1,0,H(~p|p),144,0.13160388250817623,0.11587415960420813,0.291311083838891,0.0003964807270470159
early_mid_vs_improvement,0.22500000000000003,0.19,nan,363,370,-1,1,H(p|~p),144,0.3170394154524509,0.00010808768561324868,0.2957083033225643,0.00032019314615456965
early_mid_vs_improvement,0.22500000000000003,0.18000000000000002,nan,363,372,-1,0,H(~p|p),144,0.15160416381114528,0.06969407436110149,0.31503226706091025,0.00012014181049283814
